,LSOA,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6
129,Brighton and Hove 023A,384.12,853.98,872.43,104.89,666.31,473.33
130,Brighton and Hove 021E,289.72,833.16,955.98,188.44,574.48,396.24
131,Brighton and Hove 020C,572.31,494.16,512.61,314.69,548.38,370.64
132,Brighton and Hove 020A,524.89,554.64,573.09,246.54,608.85,431.12
133,Brighton and Hove 019E,417.46,608.24,626.7,206.66,611.41,398.86
134,Brighton and Hove 011A,501.69,513.04,629.52,335.96,495.22,282.67
135,Brighton and Hove 007C,348.5,600.71,757.34,410.78,342.03,129.48
136,Brighton and Hove 007D,393.79,557.77,694.68,380.77,432.76,220.21
137,Brighton and Hove 007B,240.11,657.72,881.13,362.76,399.04,206.07
138,Brighton and Hove 007A,234.32,740.33,791.8,156.1,481.65,288.68
139,Brighton and Hove 013C,283.38,826.82,1024.55,278.09,568.14,389.9
140,Brighton and Hove 016A,310.29,830.41,848.86,213.15,619.48,426.51
141,Brighton and Hove 013B,193.07,840.52,1021.15,355.18,581.84,403.6
142,Brighton and Hove 013E,114.33,757.21,913.52,277.81,498.53,305.56
143,Brighton and Hove 013A,244.12,914.08,1021.39,385.68,655.41,462.43
144,Brighton and Hove 007E,216.23,633.84,857.25,311.98,375.16,182.18
145,Brighton and Hove 006B,152.21,858.66,1082.07,479.67,599.98,407.0
146,Brighton and Hove 006C,165.24,708.48,931.89,457.99,449.8,256.82
147,Brighton and Hove 006D,212.43,701.94,925.35,451.45,443.26,250.28
148,Brighton and Hove 013D,37.18,743.63,967.04,404.38,484.95,291.97
149,Brighton and Hove 006A,171.44,836.67,1060.08,498.9,577.99,385.01
150,Brighton and Hove 006E,120.27,798.58,1021.99,482.98,539.9,346.92
151,Brighton and Hove 021D,339.9,883.34,1060.61,264.09,624.66,446.42
152,Brighton and Hove 021A,392.74,936.18,1130.81,334.28,677.5,499.26
153,Brighton and Hove 021B,449.8,936.03,1159.44,433.2,677.35,499.1
154,Brighton and Hove 012E,304.74,781.08,1004.49,330.15,522.4,344.16
155,Brighton and Hove 013F,324.06,800.4,1023.81,423.66,541.72,363.48
156,Brighton and Hove 012D,437.17,757.79,981.2,536.78,499.11,320.87
157,Brighton and Hove 005D,353.7,668.73,892.14,453.3,410.05,231.81
158,Brighton and Hove 005E,537.99,950.84,1174.26,610.61,692.17,513.92
159,Brighton and Hove 012C,300.04,776.39,999.8,372.66,517.71,339.46
160,Brighton and Hove 012A,446.54,884.7,1108.11,519.16,626.02,447.78
161,Brighton and Hove 005C,469.8,784.83,1008.24,569.4,526.15,347.91
162,Brighton and Hove 012B,464.53,909.18,1132.6,537.15,650.51,472.26
163,Brighton and Hove 005A,567.49,882.52,1105.93,664.11,623.84,445.6
164,Brighton and Hove 005B,495.5,810.53,1033.94,595.1,551.85,373.61
